dataset,date length,training data rate,training epochs,avg rmse lstm,avg rmse rnn,avg rmse slr
bdo,3m,0.7,80,431.600199,475.254785,939.821916
corn,3m,0.5,80,33.419981,64.765874,82.284158
corn,3m,0.6,80,48.403978,22.564257,69.642401
corn,3m,0.8,80,18.805997,20.794504,18.187493
corn,3m,0.9,80,12.159056,13.20101,19.389065
corn,3m,0.7,10,20.469578,23.586635,64.112023
corn,3m,0.7,20,17.060987,24.942418,51.332429
corn,3m,0.7,40,14.899417,28.632951,48.443003
corn,3m,0.7,80,13.949077,30.022195,32.432408
corn,3m,0.7,160,16.352964,27.248483,33.047688
corn,3m,0.7,320,15.110928,20.470593,32.806464
corn,3m,0.7,640,24.01162,23.445336,27.579309
corn,1y,0.7,80,18.867953,49.327002,19.9016
corn,2y,0.7,80,28.801551,67.556572,11.537015
corn,4y,0.7,80,10.049631,43.495391,14.283861
