Date,Value,Close
2020-12-24,148957,1623.3333
2020-12-25,207762,1636.5
2020-12-26,325493,1612
2020-12-27,334318,1604
2020-12-28,264619,1591
2020-12-29,105722,1636
2020-12-30,298337,1609
2020-12-31,315449,1619.5
2021-01-01,390632,1601
2021-01-02,203987,1574
2021-01-03,212027,1622
2021-01-04,248099,1620
2021-01-05,292327,1617
2021-01-06,343472,1584.5
2021-01-07,403672,1579.5
2021-01-08,209488,1609.5
2021-01-09,197255,1605.5
2021-01-10,214345,1612
2021-01-11,84320,1628
2021-01-12,57984,1634.5
2021-01-13,118979,1623.5
2021-01-14,184147,1615.5
2021-01-15,69460,1615
2021-01-16,78235,1622
2021-01-17,141546,1620
2021-01-18,295174,1612
2021-01-19,57650,1606
2021-01-20,153030,1627.5
2021-01-21,192802,1615.5
2021-01-22,95124,1630.5
2021-01-23,122912,1629
2021-01-24,135378,1629.5
2021-01-25,91072,1631
2021-01-26,65836,1595
2021-01-27,120365,1625.5
2021-01-28,63547,1635
2021-01-29,73725,1631.5
2021-01-30,97040,1620.5
2021-01-31,19001,1631.5
2021-02-01,9773,1628
2021-02-02,1130,1630
2021-02-03,6245,1637.5
2021-02-04,75841,1631
2021-02-05,33086,1634
2021-02-06,114389,1622
2021-02-11,71325,1619
2021-02-12,147046,1633.5
2021-02-13,327757,1616
2021-02-14,308655,1616
2021-02-15,106170,1631.5
2021-02-16,308456,1603
2021-02-17,97739,1618
2021-02-18,51118,1638
2021-02-19,39114,1627.3333
2021-02-20,51359,1619.5
2021-02-21,113349,1625.5
2021-02-22,108978,1636.5
2021-02-23,18313,1625
2021-02-24,31641,1631
2021-02-25,4623,1637.5
2021-02-26,36902,1628.5
2021-02-27,7996,1637
2021-02-28,38653,1631.5
2021-03-01,11637,1635.5
2021-03-02,48836,1629.3333
