Date,Open,High,Low,Close,Adj Close,Volume
2016-02-05,369,369.5,365.5,365.75,365.75,232059
2016-02-08,366,367,361.5,362.25,362.25,222967
2016-02-09,362.25,362.75,359.25,361,361,262404
2016-02-10,361,361.75,359.25,360.25,360.25,148373
2016-02-11,360,363.25,358.5,360.25,360.25,219260
2016-02-12,361,362,358.25,358.75,358.75,183832
2016-02-16,359.75,363.5,359,363,363,213497
2016-02-17,362.75,367.5,362,367.25,367.25,174335
2016-02-18,367,368,365.25,365.5,365.5,231650
2016-02-19,365.25,367.5,364.75,365.5,365.5,197441
2016-02-22,366.5,369.25,366.25,367.5,367.5,218973
2016-02-23,367,367.25,361.5,362,362,127839
2016-02-24,362,362.75,358.75,359.75,359.75,170408
2016-02-25,359.75,361.5,355,355.5,355.5,147056
2016-02-26,355.5,356.25,352.5,354.5,354.5,120564
2016-02-29,355,357,353,353.5,353.5,23036
2016-03-01,353.5,355,353,353.75,353.75,11130
2016-03-02,353.75,355.5,352.5,354.5,354.5,2360
2016-03-03,354,355.5,351.75,353.75,353.75,4106
2016-03-04,354,357.75,353.5,354.5,354.5,2335
2016-03-07,357.5,358.5,354.5,355,355,1174
2016-03-08,355,361,354.25,358.75,358.75,1194
2016-03-09,358.75,360,356,359,359,1749
2016-03-10,358.5,363,357.75,362.5,362.5,800
2016-03-11,362.5,366.25,362.25,366,366,1779
2016-03-14,366,367.75,364.25,366.75,366.75,159819
2016-03-15,367.75,369.25,366.25,368.5,368.5,111210
2016-03-16,367.75,368.5,366,368.25,368.25,104231
2016-03-17,368.25,372,366.5,368.5,368.5,197301
2016-03-18,368,369.25,366,367,367,96097
2016-03-21,366.5,370,365.75,369.5,369.5,109502
2016-03-22,369,371.75,368.75,370,370,148114
2016-03-23,369.75,370,366,368.5,368.5,126700
2016-03-24,368.75,370.25,367.25,370,370,146167
2016-03-28,369.5,372,367.75,370.5,370.5,127556
2016-03-29,370.5,373,368.5,373,373,174314
2016-03-30,372.5,374,366.75,367,367,214614
2016-03-31,366.75,367.25,347.5,351.5,351.5,522428
2016-04-01,351.75,354.5,347.25,354,354,268649
2016-04-04,353.75,355,350.75,354.5,354.5,183736
2016-04-05,354.5,357,353.5,356.75,356.75,208622
2016-04-06,356.75,359,355,358,358,174258
2016-04-07,357.75,362,357.5,361.5,361.5,281791
2016-04-08,361.5,362.75,359,362.25,362.25,227920
2016-04-11,362,362.25,356,356.75,356.75,249689
2016-04-12,357,365.5,356.75,362.75,362.75,341615
2016-04-13,363,374.75,363,373.5,373.5,392883
2016-04-14,373,374.5,369.75,374,374,296749
2016-04-15,373.5,380.5,372,378.5,378.5,295448
2016-04-18,375.25,384,375,381,381,222137
2016-04-19,380,386,380,384.5,384.5,280508
2016-04-20,384.5,395.5,383.25,394.75,394.75,217781
2016-04-21,394,402,383.25,384.5,384.5,191428
2016-04-22,384.25,384.25,370.5,371.75,371.75,174983
2016-04-25,371.25,385,368.5,377,377,123098
2016-04-26,377.25,383,374,382.25,382.25,110843
2016-04-27,382,382.75,377,380.75,380.75,89197
2016-04-28,379.75,390.75,378.75,387,387,74352
2016-04-29,387,392,385,390.25,390.25,20109
2016-05-02,388.75,391,383.5,390.25,390.25,8370
2016-05-03,390.25,393.5,375.75,378.25,378.25,5540
2016-05-04,376.5,377.5,372.5,373.25,373.25,10039
2016-05-05,374.5,376.75,368.5,371.75,371.75,2453
2016-05-06,372.25,377.5,372.25,376,376,1551
2016-05-09,379.5,379.5,367,367.75,367.75,1035
2016-05-10,367.75,383,367,378.5,378.5,841
2016-05-11,378.5,381,371.75,374,374,1093
2016-05-12,374.75,386,374.5,385.25,385.25,787
2016-05-13,380.25,385.5,380.25,382,382,155078
2016-05-16,390.25,394.25,386.25,394,394,161780
2016-05-17,392.5,398,391.75,397,397,193693
2016-05-18,397,400.5,394,399.5,399.5,184087
2016-05-19,397.5,397.75,385.5,390,390,229117
2016-05-20,390,396.75,389,394.5,394.5,177947
2016-05-23,394,399.25,391,397.75,397.75,156434
2016-05-24,397.25,403.25,394.5,397.5,397.5,160508
2016-05-25,396.5,405,395.75,404.75,404.75,170814
2016-05-26,404,409.25,400,408.25,408.25,223709
2016-05-27,408,413.5,406.5,412.75,412.75,174313
2016-05-31,412.5,413,404,404.75,404.75,205686
2016-06-01,404.25,414,401,413.75,413.75,213032
2016-06-02,413.75,419.5,412.5,415.25,415.25,223629
2016-06-03,414,419.25,410.5,418.25,418.25,183279
2016-06-06,419.75,427.5,419.25,427.25,427.25,223124
2016-06-07,426.25,428,422.5,427.75,427.75,273076
2016-06-08,427.25,439.25,426.5,431.25,431.25,342762
2016-06-09,430.25,430.25,423.25,426.5,426.5,262525
2016-06-10,426.5,437,420,423,423,291065
2016-06-13,427.5,438,427.5,430,430,304087
2016-06-14,429.5,436.75,423.5,436.5,436.5,236330
2016-06-15,435.75,439,428.5,429,429,186442
2016-06-16,426.25,429.75,420.5,425.25,425.25,196401
2016-06-17,425,438.25,423.5,437.75,437.75,179118
2016-06-20,435.5,435.75,420.5,421.25,421.25,204937
2016-06-21,420.5,422.25,396.25,396.25,396.25,292416
2016-06-22,396.5,401,392.25,393,393,211875
2016-06-23,392,392.75,384,387.25,387.25,164756
2016-06-24,387.5,390,373.5,384.5,384.5,180562
2016-06-27,384.25,392,383,385.25,385.25,123573
