Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,378.5,383.25,378,383,383,215110
2020-02-19,382.25,382.75,378.5,380.5,380.5,172265
2020-02-20,380.75,381.25,378,378.5,378.5,173142
2020-02-21,378.25,380.5,376.25,377,377,169068
2020-02-24,376.25,376.25,370,372.25,372.25,170528
2020-02-25,373,374.75,371.25,372.5,372.5,119868
2020-02-26,372,374,368.25,370.5,370.5,268795
2020-02-27,369.75,370,361.75,364.5,364.5,156142
2020-02-28,364.5,367.25,362.75,366.5,366.5,18809
2020-03-02,366.5,375.75,366,374.75,374.75,6092
2020-03-03,375.75,383.75,375.75,381.75,381.75,3194
2020-03-04,382,388.5,380,387,387,3275
2020-03-05,387.5,387.5,382,384.5,384.5,1830
2020-03-06,383.75,385.5,377,377.25,377.25,1277
2020-03-09,372,377.5,368.5,374.25,374.25,921
2020-03-10,379,381.5,377.5,380,380,605
2020-03-11,380.25,380.5,377,379.25,379.25,942
2020-03-12,377.5,377.5,367,369.75,369.75,342
2020-03-13,370,375.5,370,370.75,370.75,191029
2020-03-16,362.5,367.75,354,354.75,354.75,188791
2020-03-17,355.25,356.75,342.75,344,344,219215
2020-03-18,344,345.25,332,335.25,335.25,255105
2020-03-19,336.5,354.75,336.5,345.5,345.5,223252
2020-03-20,346.5,356.75,342.25,343.75,343.75,189068
2020-03-23,340.25,345.5,338.25,343.5,343.5,114729
2020-03-24,343.5,350.5,338,347.25,347.25,126658
2020-03-25,347.5,352.75,345.75,348.5,348.5,118826
2020-03-26,348.25,349.25,343.75,348.75,348.75,113530
2020-03-27,348.5,350,342.5,346,346,114028
2020-03-30,343,346.75,340,341.25,341.25,108485
2020-03-31,341.75,344.75,333.5,340.75,340.75,208191
2020-04-01,341.25,342.75,333.5,334.75,334.75,151929
2020-04-02,335,343.25,333,333.5,333.5,151692
2020-04-03,334.5,338.5,328,330.75,330.75,158652
2020-04-06,329.75,331.75,325.5,327.75,327.75,111044
2020-04-07,328,335.5,328,331.5,331.5,157368
2020-04-08,332,334,328.25,330,330,151312
2020-04-09,330.75,333.5,328,331.75,331.75,169665
2020-04-13,332.25,334,326.5,331.5,331.5,147086
2020-04-14,331.25,332,325.75,326,326,191905
2020-04-15,326,326.75,317.5,319.25,319.25,161437
2020-04-16,318.75,323,317.75,319.75,319.75,136583
2020-04-17,319.75,325.5,319.5,322.25,322.25,99361
2020-04-20,322.5,323.25,313.5,314.25,314.25,150677
2020-04-21,314.25,316.25,301,309.25,309.25,197926
2020-04-22,310,320.25,308.25,317.5,317.5,146968
2020-04-23,317,323.5,315,319.25,319.25,136849
2020-04-24,319.25,320.75,312,315.75,315.75,113476
2020-04-27,315,315.75,304.25,305.5,305.5,108694
2020-04-28,305,308.5,301.25,302.75,302.75,138104
2020-04-29,302.75,308.75,300.25,304.5,304.5,121804
2020-04-30,305.25,313,303.5,311.5,311.5,11086
2020-05-01,311,311.5,308,311.5,311.5,3512
2020-05-04,309.5,310.75,305.5,310.75,310.75,2622
2020-05-05,310.5,314.75,310.5,313,313,867
2020-05-06,315,315,311,311.75,311.75,522
2020-05-07,313.5,318,313.25,316,316,1076
2020-05-08,317.75,321.75,317.5,319,319,1065
2020-05-11,320,322.25,318,318.5,318.5,333
2020-05-12,318.75,324.5,312.75,323.75,323.75,274
2020-05-13,323.5,323.5,320,320.25,320.25,91
2020-05-14,320.25,320.25,320.25,320.25,320.25,107147
2020-05-15,317.75,320.5,316.75,319.25,319.25,101614
2020-05-18,320,322,318,320.75,320.75,99372
2020-05-19,320.75,325.5,320.5,321.25,321.25,126375
2020-05-20,321.25,321.5,317.25,319.5,319.5,154473
2020-05-21,319,320.25,316.25,317.75,317.75,115119
2020-05-22,317.75,319,316,318,318,97188
2020-05-26,316.75,323,316.5,319,319,145175
2020-05-27,320,321.75,319.25,320.5,320.5,78423
2020-05-28,320.25,330.75,319.5,327.5,327.5,246973
2020-05-29,327.5,329.5,323.25,325.75,325.75,192310
2020-06-01,325.5,327.75,319.25,323.25,323.25,151319
2020-06-02,323.5,325.25,322,324.25,324.25,130469
2020-06-03,324.25,324.5,321.25,324,324,128010
2020-06-04,324.25,329.5,324,329,329,155612
2020-06-05,328.75,332.5,328.25,331.25,331.25,215912
2020-06-08,333.5,334.75,331,333.75,333.75,206335
2020-06-09,332.25,334,326.75,327.5,327.5,253631
2020-06-10,327.25,328,324.25,326.25,326.25,243286
2020-06-11,326,331,325.25,329.75,329.75,272975
2020-06-12,329.5,333,328.25,330,330,236621
2020-06-15,329.25,330,325.5,329.25,329.25,170741
2020-06-16,331.75,334.5,328,329,329,229095
2020-06-17,328,331.25,325,330.25,330.25,225643
2020-06-18,329.75,333.75,328.75,331,331,201444
2020-06-19,329.75,333.75,327.5,332.5,332.5,170567
2020-06-22,332,332.25,328,328.25,328.25,134480
2020-06-23,327.5,327.5,321.25,325,325,185863
2020-06-24,324.5,329,323.75,324.25,324.25,180307
2020-06-25,323.5,324.25,315,317.25,317.25,194687
2020-06-26,317,319.75,313.5,317,317,216581
2020-06-29,316.75,326.5,316,326.25,326.25,150216
2020-06-30,325.25,342,323.75,338.5,338.5,21411
2020-07-01,338.5,351.25,337.5,348.25,348.25,4582
2020-07-02,347.5,350.25,342.25,342.5,342.5,2491
2020-07-06,348.25,349,345.25,346.5,346.5,2094
2020-07-07,347.5,347.5,341.75,345,345,1273
2020-07-08,343.5,348.5,341,348.25,348.25,352
2020-07-09,349,356.5,348.25,351.25,351.25,495
2020-07-10,350.25,352,340,340.5,340.5,806
2020-07-13,337.25,337.25,332,334,334,437
2020-07-14,334,336.5,324.5,334.75,334.75,112416
2020-07-15,326,328.75,322.75,326.25,326.25,101702
2020-07-16,326,333.25,326,330.25,330.25,109531
2020-07-17,330.25,334.75,330.25,333,333,83693
2020-07-20,333,333.5,326,328.25,328.25,105214
2020-07-21,327.75,327.75,322,322.75,322.75,132248
2020-07-22,323,328,322.25,327.5,327.5,122910
2020-07-23,327.25,329.5,325,328,328,92652
2020-07-24,328,329.75,325.5,326.25,326.25,144237
2020-07-27,325.25,327.5,323.25,325,325,96017
2020-07-28,323,323.5,320,320,320,110739
2020-07-29,320,321.5,315.25,315.5,315.5,136660
2020-07-30,315.5,319.25,315.25,315.75,315.75,120454
2020-07-31,315.75,317.5,314.5,316,316,77056
2020-08-03,315,318.25,315,317.5,317.5,83190
2020-08-04,316.5,316.75,308.25,308.25,308.25,161834
2020-08-05,309,311.25,309,311,311,103355
2020-08-06,310.5,312.75,309.5,311.25,311.25,106028
