Date,Open,High,Low,Close,Adj Close,Volume
2019-02-12,373.5,378.75,373,378.25,378.25,291257
2019-02-13,377.5,379,376.25,378.75,378.75,243883
2019-02-14,378.75,379,374,374.75,374.75,225289
2019-02-15,374.75,376.5,373,374.75,374.75,209096
2019-02-19,374.25,376.25,369,369.75,369.75,230708
2019-02-20,371.5,373.5,368.5,370.75,370.75,310666
2019-02-21,371,378.5,370.5,375.5,375.5,257188
2019-02-22,374.75,377.75,374.5,375.25,375.25,316659
2019-02-25,377.75,378.5,370,370.5,370.5,344712
2019-02-26,370.75,371.25,365.5,366.25,366.25,242769
2019-02-27,366,368.25,362.5,363.75,363.75,189224
2019-02-28,363.75,364.75,361.25,362,362,23512
2019-03-01,361.75,364,357.5,364,364,12360
2019-03-04,365.25,368,364.5,365,365,5270
2019-03-05,366,367.25,364.75,366,366,4570
2019-03-06,366,366,361,362.5,362.5,2916
2019-03-07,362.25,362.25,355.75,356,356,2482
2019-03-08,357.75,358.25,354,354.75,354.75,2265
2019-03-11,357.5,357.5,352.5,352.5,352.5,1747
2019-03-12,353.25,357.75,352.75,356.5,356.5,798
2019-03-13,357.25,359.5,355,357.25,357.25,317
2019-03-14,360.25,363.25,360,361.5,361.5,183857
2019-03-15,369.25,373.75,369,373.25,373.25,197270
2019-03-18,374,375.5,370.25,371.5,371.5,169237
2019-03-19,372,373.75,367.75,371.25,371.25,159377
2019-03-20,371.5,372.5,368.75,371.5,371.5,101477
2019-03-21,371,377.5,370.5,376.25,376.25,220227
2019-03-22,375.75,380.75,375.5,378.25,378.25,222578
2019-03-25,378.75,380.75,376.75,379.75,379.75,155849
2019-03-26,379.25,380.5,375.5,377.25,377.25,165178
2019-03-27,376.75,377,372,373.75,373.75,127919
2019-03-28,373.75,374.75,372,374,374,105825
2019-03-29,373.75,375,356,356.5,356.5,441012
2019-04-01,356.5,363,356.5,361.75,361.75,239354
2019-04-02,362.25,363.5,359.25,361.5,361.5,117194
2019-04-03,361.25,364.75,360.5,362.75,362.75,135849
2019-04-04,362.75,366.25,362.75,365.25,365.25,159329
2019-04-05,364.5,364.75,360.5,362.5,362.5,273057
2019-04-08,362.25,363.5,359.5,360,360,269564
2019-04-09,359.75,362.25,355.25,360,360,275445
2019-04-10,360.25,362.75,360,361.75,361.75,253300
2019-04-11,361.25,363,358.5,360,360,264730
2019-04-12,360.25,361.5,358.5,361,361,95871
2019-04-15,361.25,364.25,361,362.75,362.75,208541
2019-04-16,362.5,362.5,357.25,359,359,192351
2019-04-17,358.25,360,356.75,358.25,358.25,148184
2019-04-18,358,359.25,357,358.5,358.5,102302
2019-04-22,359,359,354.25,354.75,354.75,144705
2019-04-23,354.75,355,350.25,351.25,351.25,194770
2019-04-24,351,352.5,345.5,346.75,346.75,241386
2019-04-25,346,351,342.25,347.5,347.5,236880
2019-04-26,347.25,353.5,347,351.25,351.25,166752
2019-04-29,353.25,356,351.25,352,352,250771
2019-04-30,352.25,354,349.25,353.25,353.25,14379
2019-05-01,353.5,360.5,353.5,360,360,8291
2019-05-02,361,362.25,358.5,362,362,4314
2019-05-03,362.25,363.25,360.25,363,363,1645
2019-05-06,352.5,356,349,355.75,355.75,1710
2019-05-07,357,359.25,355,358,358,1156
2019-05-08,356.5,356.5,353.25,355.25,355.25,860
2019-05-09,350,350,344,344.5,344.5,657
2019-05-10,346.5,346.5,338.25,342.5,342.5,308
2019-05-13,335.5,348.25,335.5,347.5,347.5,286
2019-05-14,354.25,360.75,353.5,360.5,360.5,429399
2019-05-15,369,380,368,369.5,369.5,336989
2019-05-16,368.75,380.75,368.75,379,379,248510
2019-05-17,380,384.75,380,383.25,383.25,319503
2019-05-20,386,391.5,385.75,389,389,358734
2019-05-21,393.25,399,391.25,394.25,394.25,451260
2019-05-22,393.25,396.5,386.25,394.5,394.5,291262
2019-05-23,394,399,387,389.75,389.75,340117
2019-05-24,390.5,404.75,389.75,404.25,404.25,299952
2019-05-28,408,421,407.5,420.25,420.25,417683
2019-05-29,429.25,438,412.25,418.75,418.75,484436
2019-05-30,416.5,436.75,413.25,436.25,436.25,324914
2019-05-31,435,437.5,423.25,427,427,302171
2019-06-03,426.25,430.75,418.25,424.25,424.25,288442
2019-06-04,435,436,421.25,425.25,425.25,306703
2019-06-05,424.25,424.75,412.25,414.75,414.75,231859
2019-06-06,414.5,421.5,407,420.5,420.5,279006
2019-06-07,421,423.5,415,415.75,415.75,227751
2019-06-10,413,416.5,409,415.75,415.75,279949
2019-06-11,415,430.25,408.25,427.75,427.75,360317
2019-06-12,427.75,434.5,424,430,430,331360
2019-06-13,429.75,442.75,429.5,442,442,402152
2019-06-14,442,457.25,441.75,453,453,312814
2019-06-17,458.25,464.25,450.5,454.75,454.75,279480
2019-06-18,455.5,458,442.75,449.75,449.75,221471
2019-06-19,449.75,451.75,438.25,441,441,193331
2019-06-20,441.5,450.75,436.5,450,450,198628
2019-06-21,452,454,441.75,442.25,442.25,251093
