Date,Open,High,Low,Close,Adj Close,Volume
2020-11-16,409,416.75,409,416.25,416.25,132116
2020-11-17,417.5,422,417.25,420.25,420.25,156573
2020-11-18,419,428.5,418.5,425.75,425.75,205431
2020-11-19,424.5,425.5,418.75,422.5,422.5,133305
2020-11-20,422.25,428,421.5,423.25,423.25,133305
2020-11-23,427.5,429.75,423.5,426.5,426.5,153801
2020-11-24,425.75,426.5,416.5,425.75,425.75,144304
2020-11-25,426,427.5,420,420,420,124261
2020-11-30,427.5,430.5,418.25,419.75,419.75,14701
2020-12-01,420,423,414,414.75,414.75,5316
2020-12-02,414.5,419.75,409,419,419,3551
2020-12-03,419.25,423.25,417.75,422.5,422.5,2379
2020-12-04,422.25,422.75,415.75,417,417,2379
2020-12-07,415.25,421,412,419.5,419.5,1156
2020-12-08,418.75,419,415.5,417,417,1757
2020-12-09,418,422.25,418,422,422,1079
2020-12-10,422,425.75,420,420.25,420.25,1262
2020-12-11,422,424.5,417.5,424.25,424.25,1262
2020-12-14,424.75,429.75,419.25,419.25,419.25,108692
2020-12-15,424,425.25,420.5,424.75,424.75,98612
2020-12-16,425.25,429.25,423.75,427.25,427.25,111651
2020-12-17,426.25,433,424.25,432.5,432.5,119655
2020-12-18,432.25,438.5,432,437.5,437.5,119655
2020-12-21,438,440.75,430.25,440,440,141947
2020-12-22,440,444.25,437.25,443.5,443.5,140992
2020-12-23,442.75,449.75,441.5,447.25,447.25,147651
2020-12-28,452,457.5,448,456.5,456.5,145219
2020-12-29,455.75,467.25,453.5,466,466,191298
2020-12-30,466,476,462,474.5,474.5,163367
2020-12-31,474,485.75,473,484,484,163367
2021-01-04,487.25,497.75,479.5,483.75,483.75,265157
2021-01-05,484.5,496,482.5,491.75,491.75,219646
2021-01-06,492.5,502.75,491.5,495,495,202374
2021-01-07,495,496,487.25,494,494,185782
2021-01-08,494,499.5,492.5,496.25,496.25,163270
2021-01-11,496.5,500.5,490.25,492.25,492.25,176563
2021-01-12,491.5,517.25,489.25,517.25,517.25,248448
2021-01-13,524,541.5,522.25,524.5,524.5,327689
2021-01-14,523,536.5,519,534.25,534.25,210370
2021-01-15,534,536.5,527.75,531.5,531.5,210370
2021-01-19,531.5,534.25,523.25,526,526,188564
2021-01-20,525,526.5,512.75,522,522,217777
2021-01-21,521,531.5,519.25,524.25,524.25,169566
2021-01-22,522.5,522.75,499.25,500.5,500.5,169566
2021-01-25,500,515.5,492.5,511.5,511.5,264763
2021-01-26,513,534.25,508,532.25,532.25,232259
2021-01-27,532.5,543.75,529.5,534,534,223887
2021-01-28,533.25,550.5,529,534.5,534.5,252543
2021-01-29,534.5,553.75,533.25,547,547,252543
2021-02-01,549,555.75,539,549.25,549.25,219066
2021-02-02,549.75,552.5,540.25,543,543,175739
2021-02-03,543.25,552.5,536.5,552,552,210137
2021-02-04,552,558,547,550,550,217079
2021-02-05,548.5,552.25,545.5,548.5,548.5,217079
2021-02-08,548.75,565.75,548.75,563.75,563.75,267647
2021-02-09,565,574.25,545,556.25,556.25,390741
2021-02-10,556,556.25,531.75,534.5,534.5,285720
2021-02-11,532.25,546.5,524.75,541,541,261046
2021-02-12,541,546.25,536.75,538.75,538.75,261046
