table,avg rmse lstm,avg rmse rnn,avg rmse slr
bdo_3m_0.7_20,655.485136,750.265423,1285.206529
corn_1y_0.7_20,15.749471,16.147018,36.382836
corn_3m_0.5_20,43.947469,54.173634,107.249137
corn_3m_0.7_10,20.469578,23.586635,64.112023
corn_3m_0.7_20,17.060987,24.942418,51.332429
corn_3m_0.7_40,14.899417,28.632951,48.443003
corn_3m_0.7_80,13.949077,30.022195,32.432408
corn_3m_0.7_160,16.352964,27.248483,33.047688
corn_3m_0.7_320,15.110928,20.470593,32.806464
corn_3m_0.7_640,24.01162,23.445336,27.579309
corn_3m_0.9_20,14.769069,14.795772,25.828429
