runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,364.4138,572.9202,1162.7773
1,453.7784,421.6355,843.4102
2,472.7865,544.5196,881.428
3,577.445,410.0575,1030.4545
4,440.8055,602.7513,1255.2086
5,386.322,444.7748,1356.2774
6,376.2001,482.802,854.2658
7,614.8882,383.2997,687.0193
8,393.4518,415.7562,1087.9908
9,451.897,473.1482,914.4483
10,387.6701,640.6982,1229.3297
11,433.7062,547.2892,947.8385
12,337.4303,419.0774,700.5119
13,396.1796,422.1902,1199.4423
14,401.8971,428.5679,763.1566
15,378.5732,535.2221,657.1728
16,388.8841,665.2416,855.9849
17,457.0935,385.7771,678.89
18,381.5176,390.7669,819.3221
19,393.8429,423.8561,830.2542
20,463.495,486.8765,1013.4805
21,387.1523,363.9886,754.4789
22,395.3864,681.9168,1128.3723
23,398.877,351.5382,1431.0566
24,367.7619,606.4579,722.4606
25,558.6591,445.9334,980.0544
26,370.7211,555.1836,835.5006
27,400.7504,334.516,751.6649
28,528.4883,518.8242,934.7371
29,419.7908,418.2862,1198.3486
30,380.0091,433.603,785.9967
31,432.9905,653.1631,526.3932
32,439.5573,483.1809,1038.537
33,609.6573,440.327,1235.6526
34,381.1103,743.3843,835.5594
35,384.2734,454.4958,684.0858
36,399.4809,563.219,782.3816
37,347.0689,450.6455,685.1803
38,458.5959,425.0553,828.806
39,378.6839,358.9328,809.5299
40,447.1982,582.9803,1340.9724
41,366.6848,520.377,668.0676
42,386.0025,602.7193,826.6502
43,380.3829,369.0103,1309.3141
44,427.0717,779.6187,1020.7499
45,350.0304,346.2938,876.3337
46,378.9594,464.5472,997.5791
47,528.5719,401.6059,922.3844
48,567.9299,424.3771,1117.7287
49,442.9689,455.9495,593.1103
50,376.896,465.9361,967.1095
51,452.0405,440.8963,1018.1956
52,456.9877,857.5753,978.9368
53,529.5364,466.1378,1018.7029
54,350.3804,445.2356,757.107
55,428.3553,769.7976,1035.9019
56,463.5062,387.8325,792.0331
57,498.46,412.2543,1323.7875
58,398.7588,423.8138,879.0431
59,453.6471,495.3675,1349.7909
60,468.633,376.936,665.0354
61,555.4052,536.4819,828.8218
62,553.8893,523.8039,983.3686
63,390.4397,450.1232,1110.8733
64,378.2014,343.301,908.6955
65,492.9556,424.8751,939.6611
66,585.3337,499.4475,1088.9195
67,499.9069,538.1623,1016.7151
68,461.861,498.4964,739.3156
69,442.0909,443.274,968.9538
70,479.9726,458.9692,780.9049
71,408.9112,471.6019,795.8288
72,399.6482,482.5776,1151.4969
73,406.6941,507.4093,786.7449
74,502.5897,456.3888,837.3872
75,366.9101,407.6476,1247.8704
76,472.739,429.3421,987.9957
77,440.2099,434.7727,713.7778
78,387.5325,371.4215,1191.0318
79,581.4172,478.1554,1028.8211
80,381.8156,414.5456,965.2072
81,409.2537,445.1875,979.5944
82,646.0739,473.1613,807.7406
83,388.6833,558.5902,1097.9374
84,360.4297,379.8857,1020.8359
85,409.4708,470.3549,1379.3623
86,371.9982,549.0815,1037.4269
87,398.4511,440.965,1047.3998
88,377.8836,391.1985,1109.5799
89,413.9071,323.9972,585.4262
90,428.9513,364.1797,879.2433
91,454.724,520.83,897.8825
92,366.8331,563.2021,657.4509
93,365.1737,456.8329,1263.5877
94,397.2155,430.5556,769.089
95,366.5067,390.1526,716.2088
96,365.175,488.2121,1003.5092
97,513.2801,368.0844,747.4414
98,423.7239,417.8475,968.1115
99,369.4667,453.2211,765.9786
