runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,31.9025,83.4741,10.4902
1,27.1131,39.7558,10.4640
2,31.5388,81.1667,11.1282
3,30.6932,54.5864,8.4511
4,30.9237,46.5992,10.7186
5,20.3250,57.5259,9.7660
6,30.1020,40.0113,12.4466
7,29.9596,62.5307,13.9979
8,24.1611,62.8272,16.4674
9,19.6675,56.8165,10.5783
10,30.4705,79.7429,8.8871
11,28.1642,41.5858,15.1460
12,31.0702,58.4387,10.8162
13,32.9690,82.5234,9.0505
14,26.2305,47.9203,15.5275
15,32.8593,59.1041,12.8335
16,29.8819,88.9942,8.8770
17,27.9835,76.0712,15.8848
18,29.1078,86.0738,9.8885
19,28.1676,85.8157,9.7327
20,24.3615,85.7962,11.9692
21,29.1518,58.0274,10.4064
22,30.3009,73.6050,10.8412
23,26.3441,55.6135,13.8833
24,30.3703,50.0883,12.6599
25,29.2257,52.7774,10.2166
26,22.1975,78.7668,14.6546
27,28.3677,89.4792,10.9448
28,28.0623,52.5915,10.1215
29,27.5377,41.7901,11.2950
30,25.1287,37.1713,10.6898
31,36.4933,96.4603,9.7149
32,26.3840,50.5384,10.0449
33,34.5901,81.8706,14.7466
34,34.3595,61.7115,11.3018
35,31.8537,49.3277,15.1391
36,26.7527,43.0106,14.6909
37,24.8153,55.6735,10.7626
38,25.9090,51.2602,11.0410
39,36.5560,87.2275,13.9720
40,30.4932,85.5819,12.1820
41,20.7499,79.4013,11.3728
42,22.5556,89.3375,13.2923
43,34.0793,54.1333,14.6628
44,36.4179,60.8779,11.5092
45,34.3201,84.7290,11.7236
46,21.5338,79.7570,9.5495
47,29.8312,43.7852,10.8958
48,24.6306,117.0480,10.7889
49,30.9403,79.1238,10.6774
50,28.5227,84.3236,10.3656
51,28.7230,47.7018,10.4521
52,31.3617,53.1843,9.9561
53,24.0342,64.1491,9.7220
54,25.2018,81.9297,9.4581
55,33.4494,54.8926,10.9439
56,27.8521,64.8423,11.5730
57,34.4472,93.7604,12.4301
58,28.3428,79.4505,10.5850
59,31.9545,80.9695,11.5647
60,27.6146,103.5078,12.2380
61,30.0419,71.1175,10.9485
62,30.9056,78.1102,13.0322
63,28.0419,40.4547,10.3875
64,32.6481,50.3439,10.2579
65,27.2427,82.2837,12.4323
66,38.6448,45.7735,10.5725
67,30.2519,88.6145,15.0939
68,19.6406,61.5681,12.7260
69,23.5063,60.8784,9.8569
70,37.2853,49.2085,11.0767
71,26.6003,75.4987,9.3685
72,22.6040,43.8842,11.0255
73,25.1355,56.9829,13.6289
74,26.3658,84.9695,11.6696
75,29.5384,72.7880,13.6646
76,27.6383,78.8438,13.0249
77,31.4042,57.3617,10.4622
78,33.7334,59.4838,9.2498
79,23.9872,86.8754,9.5571
80,35.7411,88.9819,10.2580
81,30.2432,56.7418,10.8788
82,30.9890,94.3977,10.3120
83,31.0982,44.3911,12.4766
84,26.7385,64.0359,12.0165
85,28.1515,54.0534,12.6101
86,35.3115,84.0737,11.2027
87,16.9928,23.5498,11.4610
88,25.1201,62.6237,9.8755
89,22.6401,78.2335,10.0390
90,20.3971,83.2878,10.4000
91,36.7525,87.0993,10.1977
92,30.2674,88.1512,12.6555
93,22.9499,103.5931,18.4037
94,27.6493,85.1810,11.0200
95,31.0903,46.1732,10.4004
96,29.4855,45.4840,11.0025
97,30.6520,51.4840,11.4244
98,30.6982,93.8399,12.7946
99,32.8620,48.4028,10.0459
