runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,21.6852,21.0777,23.7921
1,58.6275,16.8553,23.3351
2,20.8566,20.2783,21.8982
3,15.6988,26.0334,31.2158
4,17.0285,22.1345,29.1091
5,21.1553,20.8221,30.0402
6,21.0252,25.4873,38.7627
7,30.8325,30.1816,17.1038
8,16.0408,16.1113,39.2305
9,15.6963,24.5291,40.9762
10,56.1596,24.8676,46.2159
11,17.5844,26.7751,21.6470
12,18.9140,15.8717,17.5868
13,30.8000,28.4161,22.9360
14,16.2378,19.5549,20.9336
15,19.9585,19.1091,19.8457
16,22.4231,18.8226,27.1651
17,24.0357,45.2790,32.9621
18,29.6326,22.1984,36.2341
19,35.3626,18.2782,36.5130
20,26.8880,19.5080,20.9274
21,16.8249,62.5951,44.4005
22,19.7133,72.8379,27.2277
23,20.6289,19.0521,26.2718
24,17.9504,20.4125,23.6203
25,19.5556,22.3746,22.4041
26,20.2796,24.0906,22.0016
27,17.9375,20.4605,27.7292
28,19.0945,20.0195,25.3074
29,35.7847,26.2247,35.8383
30,44.1638,18.9691,40.7924
31,20.1562,23.4800,54.3533
32,21.6863,19.0685,22.6671
33,20.7245,22.6637,41.0586
34,18.9395,23.0374,18.5902
35,34.1153,29.8564,47.1737
36,39.0150,23.0696,35.9248
37,19.4912,18.1670,19.5557
38,36.6551,17.7771,19.3126
39,17.9653,16.4154,22.1913
40,19.9559,18.6922,24.0902
41,15.2681,19.2045,20.8210
42,23.5283,17.9619,20.6227
43,23.2560,21.8996,25.7230
44,20.3401,23.3497,31.6434
45,18.9636,17.8279,28.0593
46,15.8555,16.5927,21.6972
47,21.1026,19.7508,33.5050
48,19.9261,20.0104,18.5879
49,22.3766,17.5033,21.1427
50,17.9185,14.3629,25.8562
51,38.2569,20.3363,29.9734
52,24.2956,25.2608,20.4559
53,22.6937,22.2003,33.2707
54,21.7914,71.8123,33.1328
55,29.2182,26.4470,14.9717
56,15.4247,22.6642,28.3469
57,20.2690,14.3679,17.5579
58,16.2019,22.1944,34.4071
59,21.0241,25.6354,18.9608
60,24.7320,18.4708,17.4443
61,34.1533,22.3023,27.6457
62,53.5512,19.4030,52.9666
63,18.5638,29.6618,29.9184
64,23.2144,23.4073,32.1754
65,22.8736,26.1568,42.4046
66,23.3713,20.9115,27.0192
67,33.8481,15.9569,28.0642
68,15.8579,15.9505,23.2688
69,21.5544,18.4010,19.9354
70,24.0449,23.9216,17.9057
71,21.7575,19.8891,30.5229
72,23.8868,16.6500,23.8112
73,30.3617,24.4339,30.1053
74,18.5631,18.0031,19.1537
75,22.3637,35.3862,38.4152
76,17.7179,24.6975,20.2372
77,21.3967,18.3550,19.7021
78,34.5872,26.4763,21.1373
79,20.2641,19.6544,40.8921
80,18.9663,22.0758,25.9562
81,20.0808,23.8847,20.8034
82,23.0331,28.7923,26.1266
83,25.8674,17.1192,23.0763
84,23.3018,19.6838,36.9623
85,20.1305,34.9377,25.0933
86,15.8070,24.5480,33.9848
87,18.9476,20.9682,26.7068
88,15.5686,33.4597,19.3388
89,22.0291,24.0779,22.9610
90,39.3464,19.8559,23.0725
91,20.4576,20.6173,20.3906
92,17.6731,23.6032,22.6690
93,45.5821,21.7476,39.4931
94,19.5778,23.5930,20.3381
95,24.1965,21.2388,18.7107
96,17.5914,26.1007,29.6716
97,38.3364,18.5665,39.3406
98,23.3710,19.4112,21.1979
99,19.6425,21.3256,21.6352
