runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,26.5947,20.9170,14.6157
1,24.0261,16.6370,25.0458
2,11.8856,9.8224,15.5039
3,23.9610,15.3083,16.8800
4,26.0689,16.9864,20.3796
5,19.6925,23.8355,27.6031
6,14.0115,19.6018,13.5212
7,24.0533,36.8577,16.1735
8,16.7720,22.6580,19.2263
9,17.2567,13.3638,16.3649
10,23.7991,16.4788,13.2581
11,16.7823,19.3285,13.0009
12,18.7073,18.8744,9.0063
13,10.0786,14.9382,16.3225
14,17.7794,17.3203,20.7548
15,27.4784,33.0112,14.8841
16,22.9526,16.2629,15.5552
17,13.0055,21.7133,15.5266
18,15.5024,10.7143,21.5366
19,8.9007,15.9126,16.1168
20,10.3352,15.1820,14.2719
21,13.5687,16.4623,26.9532
22,10.8548,26.1282,31.9742
23,20.6297,10.9997,38.1925
24,19.8883,22.4639,22.8019
25,11.3845,25.1141,35.8845
26,12.4661,19.3701,19.1057
27,8.8404,25.4195,11.8557
28,33.8796,13.3945,20.7034
29,23.6139,24.9325,12.7161
30,13.4180,33.2262,18.8031
31,20.3783,14.1917,18.9243
32,20.5964,22.9323,15.8560
33,16.5100,10.3804,15.2739
34,24.8333,16.7729,11.9756
35,12.2342,38.1808,18.5830
36,19.4154,43.2043,10.7147
37,22.1135,22.3811,19.0828
38,18.4936,13.2616,22.6150
39,11.0339,30.2726,13.9588
40,21.9443,39.7123,24.3447
41,23.4792,16.3107,13.4725
42,18.0031,12.6860,19.1830
43,14.6583,11.1508,13.5262
44,17.5101,17.3274,19.7375
45,11.6003,9.9113,14.2390
46,22.8757,18.1839,12.3352
47,19.5593,21.9402,19.1193
48,12.9743,14.8456,10.8045
49,26.4303,49.7234,13.8838
50,22.8015,23.4630,17.2152
51,19.1694,31.0112,17.1278
52,24.1458,21.6603,17.3427
53,21.8749,11.4934,14.9558
54,23.1839,21.5264,14.3254
55,26.2860,15.0126,24.9577
56,22.4790,26.5551,15.9205
57,33.6243,9.9572,13.2218
58,23.5050,27.4366,22.1459
59,15.9478,14.9911,23.3588
60,20.6002,23.2017,17.4309
61,18.0588,25.6048,14.9436
62,8.4094,31.7137,21.1013
63,12.9910,19.2602,26.4747
64,18.1214,17.7758,14.7914
65,16.0348,27.8306,16.9336
66,16.8293,22.9593,30.6010
67,23.2465,15.4284,14.9721
68,25.2765,9.7556,16.7776
69,8.9675,17.1982,25.3429
70,10.8998,25.3045,12.6948
71,10.9760,25.5055,19.2313
72,17.2341,13.0967,17.4740
73,11.9205,13.2221,20.9027
74,25.8162,39.8538,20.0225
75,19.3978,28.2338,15.8745
76,25.6920,20.8480,18.5084
77,18.8303,20.8801,12.8059
78,14.7060,27.8855,21.6117
79,13.0486,23.3919,17.9223
80,18.6288,13.0072,16.6961
81,19.6249,31.7774,16.6599
82,19.5955,12.3632,23.5507
83,13.6693,24.7387,14.2469
84,22.6843,17.3191,20.9343
85,20.0069,18.7858,18.0850
86,19.5266,26.1066,16.9435
87,21.6205,10.9464,13.6971
88,35.8851,27.2200,12.0812
89,26.5898,11.8461,25.9602
90,16.9544,18.3252,17.0506
91,21.1779,26.2970,25.8978
92,20.7766,11.8363,24.2555
93,17.6641,30.7111,12.7748
94,17.2495,9.5987,17.8710
95,11.9343,24.4582,17.8357
96,21.2097,21.5682,17.5446
97,17.4072,15.3388,15.9531
98,22.0786,27.0330,13.8749
99,13.4101,11.5116,17.6797
